stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066232.803292,10,-0.220629,-0.041705,0.576602,0.516218,0.668794,-0.270358,0.461671,-0.220652,-0.041714,0.576705,0.516173,0.668270,-0.270623,0.462325,0.000107,0.100864,0.000000,1.088915,0.918345
1767066232.836788,10,-0.220384,-0.041810,0.576063,0.516786,0.668823,-0.269046,0.461761,-0.220150,-0.041910,0.575550,0.517473,0.668855,-0.267453,0.461869,0.000573,0.199223,0.000000,1.102870,0.906725
1767066232.869971,10,-0.219794,-0.041773,0.575449,0.515904,0.669766,-0.269936,0.460860,-0.219227,-0.041738,0.574860,0.514826,0.670912,-0.271021,0.459759,0.000818,0.252653,0.000000,1.264197,0.791016
1767066232.903605,10,-0.219760,-0.041664,0.576015,0.514624,0.670086,-0.271457,0.460932,-0.219727,-0.041560,0.576555,0.513069,0.670471,-0.273301,0.461016,0.000551,0.280061,0.000000,1.102698,0.906867
1767066232.936955,10,-0.219690,-0.041715,0.575976,0.514803,0.670293,-0.271303,0.460521,-0.219622,-0.041763,0.575939,0.515021,0.670544,-0.271116,0.460022,0.000091,0.071992,0.000000,1.191609,0.839201
1767066232.970462,10,-0.219925,-0.041603,0.576654,0.514256,0.669672,-0.272258,0.461471,-0.220150,-0.041496,0.577302,0.513590,0.668917,-0.273415,0.462622,0.000694,0.219856,0.000000,1.224398,0.816728
1767066233.003954,10,-0.220108,-0.041718,0.576603,0.515216,0.669285,-0.270747,0.461851,-0.220284,-0.041828,0.576554,0.516378,0.668812,-0.268912,0.462309,0.000213,0.260122,0.000000,1.214470,0.823404
1767066233.037211,10,-0.219821,-0.041795,0.575963,0.515497,0.670101,-0.269962,0.460812,-0.219546,-0.041868,0.575350,0.515837,0.671093,-0.269006,0.459546,0.000676,0.217895,0.000000,1.272366,0.785937
1767066233.070827,10,-0.220285,-0.041694,0.576603,0.515880,0.669216,-0.270486,0.461363,-0.220727,-0.041598,0.577213,0.516343,0.668141,-0.271121,0.462029,0.000760,0.170684,0.000000,1.113639,0.897957
1767066233.104210,10,-0.220574,-0.041802,0.576475,0.517221,0.668784,-0.268961,0.461379,-0.220850,-0.041904,0.576353,0.518848,0.668256,-0.267106,0.461395,0.000319,0.289157,0.000000,1.012422,0.987730
1767066233.137704,10,-0.220648,-0.041873,0.576323,0.517844,0.668792,-0.268331,0.461035,-0.220718,-0.041940,0.576178,0.518599,0.668801,-0.267566,0.460618,0.000175,0.132228,0.000000,1.080248,0.925714
1767066233.171228,10,-0.220541,-0.041805,0.576152,0.517320,0.668936,-0.268513,0.461308,-0.220439,-0.041741,0.575988,0.516685,0.669110,-0.268733,0.461639,0.000203,0.088172,0.000000,1.179475,0.847835
1767066233.204530,10,-0.220799,-0.041772,0.576519,0.517226,0.668909,-0.268501,0.461461,-0.221046,-0.041740,0.576870,0.517110,0.668876,-0.268487,0.461646,0.000431,0.025316,0.000000,1.147074,0.871784
1767066233.238171,10,-0.220537,-0.041766,0.576111,0.516881,0.669315,-0.268791,0.461089,-0.220287,-0.041760,0.575722,0.516463,0.669807,-0.269142,0.460638,0.000462,0.098801,0.000000,1.177088,0.849554
1767066233.271534,10,-0.220586,-0.041676,0.576534,0.516433,0.669137,-0.270179,0.461039,-0.220633,-0.041591,0.576938,0.515886,0.668918,-0.271865,0.460977,0.000416,0.204801,0.000000,1.152096,0.867983
1767066233.305028,10,-0.220598,-0.041657,0.576422,0.516442,0.668297,-0.270325,0.462159,-0.220609,-0.041639,0.576315,0.516452,0.667276,-0.270502,0.463518,0.000109,0.195872,0.000000,1.151106,0.868730
1767066233.338536,10,-0.220372,-0.041754,0.576151,0.516788,0.668798,-0.269614,0.461463,-0.220155,-0.041845,0.575893,0.517208,0.669404,-0.268751,0.460617,0.000349,0.162224,0.000000,1.110648,0.900376
1767066233.371784,10,-0.219853,-0.041795,0.575766,0.515794,0.670104,-0.270306,0.460274,-0.219355,-0.041834,0.575398,0.514580,0.671690,-0.271147,0.458824,0.000620,0.298838,0.000000,1.126914,0.887379
